radio;mnc;lon;lat;created
3G;Claro;-78.47575;-0.305654;1363640576
2G;Claro;-78.474655151367;-0.30281066894531;1363465823
2G;Claro;-78.493195;-0.265732;1363640581
2G;Claro;-78.502579;-0.236435;1363640581
2G;Claro;-78.468317;-0.165138;1363510886
3G;Claro;-79.809057;-2.189441;1365451039
3G;Claro;-79.909058;-2.112103;1366373547
3G;Claro;-79.896511;-2.226397;1366864564
3G;Claro;-79.904813;-2.214899;1366864564
3G;Claro;-79.909877;-2.217762;1366864564
3G;Claro;-79.904057;-2.209485;1366864564
3G;Claro;-79.903087;-2.208367;1366864564
3G;Claro;-79.908082;-2.191339;1366864564
3G;Claro;-79.89348;-2.193798;1366864564
3G;Claro;-79.901504516602;-2.1979522705078;1366357755
3G;Claro;-79.903048;-2.193906;1366864564
3G;Claro;-79.896877;-2.189019;1366864564
3G;Claro;-79.898382;-2.215079;1366864564
3G;Claro;-79.896246;-2.188808;1366864564
3G;Claro;-79.892029;-2.17804;1366864575
3G;Claro;-79.891891;-2.178497;1366358442
3G;Claro;-79.890747;-2.176437;1366864575
3G;Claro;-79.890114;-2.176303;1366864575
3G;Claro;-79.891891;-2.172546;1366358500
3G;Claro;-79.891786;-2.17281;1366864575
3G;Claro;-79.893773;-2.171046;1366864575
3G;Claro;-79.891273;-2.165199;1366864575
3G;Claro;-79.887387;-2.156918;1366864575
3G;Claro;-79.882599;-2.147507;1366864575
3G;Claro;-79.889131;-2.149914;1366864575
3G;Claro;-79.883684;-2.144426;1366864575
3G;Claro;-79.880171;-2.141967;1366864575
3G;Claro;-79.881958;-2.168137;1366360271
3G;Claro;-79.888144;-2.188339;1366864580
3G;Claro;-79.884964;-2.18837;1366864580
3G;Claro;-79.88259;-2.190859;1366864580
3G;Claro;-79.884738;-2.191039;1366864580
3G;Claro;-79.883849;-2.192641;1366864580
3G;Claro;-79.886077;-2.194687;1366864580
3G;Claro;-79.88475;-2.194382;1366864580
3G;Claro;-79.886124;-2.196304;1366864585
3G;Claro;-79.88993;-2.195304;1366864585
3G;Claro;-79.890518;-2.197266;1366864585
3G;Claro;-79.896543;-2.180423;1366864585
3G;Claro;-79.896667;-2.202872;1366864585
3G;Claro;-79.89199;-2.192655;1366864585
3G;Claro;-79.900958;-2.190323;1366864585
3G;Claro;-79.891142;-2.190337;1366864585
3G;Claro;-79.891869;-2.186714;1366864585
3G;Claro;-79.890888;-2.184853;1366864585
3G;Claro;-79.891054;-2.181238;1366864585
3G;Claro;-79.888865;-2.184275;1366864585
